"","FT","Census","Segment","Start","End","Segment_Tags","Distance","Date","Observer","Hour","Humidity_Census","Rain_History","Rain_Type","H.picta","H.zeylanica","Humidity_Segment","Weather","Comments","Long_Rain","Observer.S","year","dates","MinAlt","MaxAlt","MedAlt","partition"
"27","1.PS","2B","2B-06","IF 25","IF 15",10,500,"2012-11-30","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"28","1.PS","2B","2B-07","IF 15","DG 0",10,500,"2012-11-30","LD","05:30 AM","wet","3.yesterday","4.heavy","1","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"29","1.PS","2A","2A-01","DG 0","IF 15",10,500,"2014-10-13","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","3.fog","","1-3 jam","SY","2014",NA,5,10,7.5,"PS.I"
"30","1.PS","2A","2A-02","IF 15","IF 25",10,500,"2014-10-13","SY","05:30 AM","wet","4.last_night","3.medium","2","0","3.wet","3.fog","","1-3 jam","SY","2014",NA,5,10,7.5,"PS.I"
"31","1.PS","2A","2A-03","IF 25","IF 35",10,500,"2014-10-13","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","SY","2014",NA,5,10,7.5,"PS.I"
"32","1.PS","2A","2A-04","IF 35","IF 45",10,500,"2014-10-13","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","SY","2014",NA,5,10,7.5,"PS.I"
"33","1.PS","2A","2A-05","IF 45","RG 00",10,500,"2014-10-13","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","SY","2014",NA,5,10,7.5,"PS.I"
"34","1.PS","2A","2A-06","TZ 27","TZ 17",10,500,"2014-10-13","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","SY","2014",NA,5,10,7.5,"PS.I"
"35","1.PS","2A","2A-07","TZ 17","TZ 07",10,500,"2014-10-13","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","SY","2014",NA,5,10,7.5,"PS.I"
"36","1.PS","2B","2B-01","TZ 07","TZ 17",10,500,"2014-10-18","JK","05:30 AM","moist","4.last_night","2.drizzle","0","0","2.moist","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"PS.I"
"37","1.PS","2B","2B-02","TZ 17","TZ 27",10,500,"2014-10-18","JK","05:30 AM","moist","4.last_night","2.drizzle","0","0","2.moist","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"PS.I"
"38","1.PS","2B","2B-03","RG 00","IF 45",10,500,"2014-10-18","JK","05:30 AM","moist","4.last_night","2.drizzle","0","1","2.moist","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"PS.I"
"39","1.PS","2B","2B-04","IF 45","IF 35",10,500,"2014-10-18","JK","05:30 AM","moist","4.last_night","2.drizzle","1","0","2.moist","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"PS.I"
"40","1.PS","2B","2B-05","IF 35","IF 25",10,500,"2014-10-18","JK","05:30 AM","moist","4.last_night","2.drizzle","0","0","2.moist","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"PS.I"
"41","1.PS","2B","2B-06","IF 25","IF 15",10,500,"2014-10-18","JK","05:30 AM","moist","4.last_night","2.drizzle","0","0","2.moist","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"PS.I"
"42","1.PS","2B","2B-07","IF 15","DG 0",10,500,"2014-10-18","JK","05:30 AM","moist","4.last_night","2.drizzle","0","3","2.moist","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"PS.I"
"43","1.PS","2A","2A-01","DG 0","IF 15",10,500,"2016-03-08","LD","05:30 AM","wet","4.last_night","3.medium","2","0","3.wet","3.fog","","1-3 jam","LD","2016",NA,5,10,7.5,"PS.I"
"44","1.PS","2A","2A-02","IF 15","IF 25",10,500,"2016-03-08","LD","05:30 AM","wet","4.last_night","3.medium","1","0","2.moist","3.fog","","","LD","2016",NA,5,10,7.5,"PS.I"
"45","1.PS","2A","2A-03","IF 25","IF 35",10,500,"2016-03-08","LD","05:30 AM","wet","4.last_night","3.medium","0","0","2.moist","1.clear","","","LD","2016",NA,5,10,7.5,"PS.I"
"46","1.PS","1A","1A-01","KP 37","KP 27",10,500,"2013-05-10","MI","05:30 AM","wet","4.last_night","2.drizzle","3","0","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"PS.I"
"47","1.PS","1A","1A-02","KP 27","KP 17",10,500,"2013-05-10","MI","05:30 AM","wet","4.last_night","2.drizzle","2","0","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"PS.I"
"48","1.PS","1A","1A-03","TZ 0","BD 13",10,500,"2013-05-10","MI","05:30 AM","wet","4.last_night","2.drizzle","2","0","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"PS.I"
"49","1.PS","1A","1A-04","BD 13","BD 03",10,500,"2013-05-10","MI","05:30 AM","wet","4.last_night","2.drizzle","1","0","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"PS.I"
"50","1.PS","1A","1A-05","BD 03","RB 20",10,500,"2013-05-10","MI","05:30 AM","wet","4.last_night","2.drizzle","4","1","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"PS.I"
"51","1.PS","1A","1A-06","KP 00","KP 10",10,500,"2013-05-10","MI","05:30 AM","wet","4.last_night","2.drizzle","2","0","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"PS.I"
"52","1.PS","1A","1A-07","KP 10","KP15",5,250,"2013-05-10","MI","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"PS.I"
"53","1.PS","1B","1B-01","KP15","KP 10",5,250,"2013-05-25","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","1-3 jam","LD","2013",NA,5,10,7.5,"PS.I"
"54","1.PS","1B","1B-02","KP 10","KP 00",10,500,"2013-05-25","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","1-3 jam","LD","2013",NA,5,10,7.5,"PS.I"
"55","1.PS","1B","1B-03","RB 20","BD 03",10,500,"2013-05-25","LD","05:30 AM","wet","3.yesterday","4.heavy","1","3","3.wet","1.clear","","1-3 jam","LD","2013",NA,5,10,7.5,"PS.I"
"56","1.PS","1B","1B-04","BO 03","BD 13",10,500,"2013-05-25","LD","05:30 AM","wet","3.yesterday","4.heavy","0","1","3.wet","1.clear","","1-3 jam","LD","2013",NA,5,10,7.5,"PS.I"
"57","1.PS","1B","1B-05","BD 13","TZ 00",10,500,"2013-05-25","LD","05:30 AM","wet","3.yesterday","4.heavy","1","0","3.wet","1.clear","","1-3 jam","LD","2013",NA,5,10,7.5,"PS.I"
"58","1.PS","1B","1B-06","KP 17","KP 27",10,500,"2013-05-25","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","1-3 jam","LD","2013",NA,5,10,7.5,"PS.I"
"59","1.PS","1B","1B-07","KP 27","KP 37",10,500,"2013-05-25","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","1-3 jam","LD","2013",NA,5,10,7.5,"PS.I"
"60","1.PS","2A","2A-01","DG 0","IF 15",10,500,"2013-05-11","SL","05:30 AM","wet","4.last_night","2.drizzle","5","0","3.wet","1.clear","","1-3 jam","SL","2013",NA,5,10,7.5,"PS.I"
"61","1.PS","2A","2A-02","IF 15","IF 25",10,500,"2013-05-11","SL","05:30 AM","wet","4.last_night","2.drizzle","2","0","3.wet","1.clear","","1-3 jam","SL","2013",NA,5,10,7.5,"PS.I"
"62","1.PS","2A","2A-03","IF 25","IF 35",10,500,"2013-05-11","SL","05:30 AM","wet","4.last_night","2.drizzle","1","0","3.wet","1.clear","","1-3 jam","SL","2013",NA,5,10,7.5,"PS.I"
"63","1.PS","2A","2A-04","IF 35","IF 45",10,500,"2013-05-11","SL","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","SL","2013",NA,5,10,7.5,"PS.I"
"64","1.PS","2A","2A-05","IF 45","RG 00",10,500,"2013-05-11","SL","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","SL","2013",NA,5,10,7.5,"PS.I"
"65","1.PS","2A","2A-06","TZ 27","TZ 17",10,500,"2013-05-11","SL","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","SL","2013",NA,5,10,7.5,"PS.I"
"66","1.PS","2A","2A-07","TZ 17","TZ 07",10,500,"2013-05-11","SL","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","SL","2013",NA,5,10,7.5,"PS.I"
"67","1.PS","1B","1B-01","KP15","KP 10",5,250,"2020-08-22","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","SY","2020",NA,5,10,7.5,"PS.I"
"68","1.PS","1B","1B-02","KP 10","KP 00",10,500,"2020-08-22","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","SY","2020",NA,5,10,7.5,"PS.I"
"69","1.PS","1B","1B-03","RB 20","BD 03",10,500,"2020-08-22","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","SY","2020",NA,5,10,7.5,"PS.I"
"70","1.PS","1B","1B-04","BO 03","BD 13",10,500,"2020-08-22","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","SY","2020",NA,5,10,7.5,"PS.I"
"71","1.PS","1B","1B-05","BD 13","TZ 00",10,500,"2020-08-22","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","SY","2020",NA,5,10,7.5,"PS.I"
"72","1.PS","1B","1B-06","KP 17","KP 27",10,500,"2020-08-22","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","SY","2020",NA,5,10,7.5,"PS.I"
"73","1.PS","1B","1B-07","KP 27","KP 37",10,500,"2020-08-22","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","SY","2020",NA,5,10,7.5,"PS.I"
"74","1.PS","2A","2A-01","DG 0","IF 15",10,500,"2020-08-17","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","<1 jam","SY","2020",NA,5,10,7.5,"PS.I"
"75","1.PS","2A","2A-02","IF 15","IF 25",10,500,"2020-08-17","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","<1 jam","SY","2020",NA,5,10,7.5,"PS.I"
"76","1.PS","2A","2A-03","IF 25","IF 35",10,500,"2020-08-17","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","<1 jam","SY","2020",NA,5,10,7.5,"PS.I"
"77","1.PS","2A","2A-04","IF 35","IF 45",10,500,"2020-08-17","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","<1 jam","SY","2020",NA,5,10,7.5,"PS.I"
"78","1.PS","2A","2A-05","IF 45","RG 00",10,500,"2020-08-17","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","<1 jam","SY","2020",NA,5,10,7.5,"PS.I"
"79","1.PS","2A","2A-06","TZ 27","TZ 17",10,500,"2020-08-17","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","<1 jam","SY","2020",NA,5,10,7.5,"PS.I"
"80","1.PS","2A","2A-07","TZ 17","TZ 07",10,500,"2020-08-17","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","<1 jam","SY","2020",NA,5,10,7.5,"PS.I"
"81","1.PS","2B","2B-01","TZ 07","TZ 17",10,500,"2020-08-23","JK","05:40 AM","wet","5.raining","2.drizzle","0","0","1.dry","5.cloudy","","<1 jam","JK","2020",NA,5,10,7.5,"PS.I"
"82","1.PS","2B","2B-02","TZ 17","TZ 27",10,500,"2020-08-23","JK","05:40 AM","wet","5.raining","2.drizzle","0","0","3.wet","5.cloudy","","<1 jam","JK","2020",NA,5,10,7.5,"PS.I"
"83","1.PS","2B","2B-03","RG 00","IF 45",10,500,"2020-08-23","JK","05:40 AM","wet","5.raining","2.drizzle","0","0","3.wet","5.cloudy","","<1 jam","JK","2020",NA,5,10,7.5,"PS.I"
"84","1.PS","2B","2B-04","IF 45","IF 35",10,500,"2020-08-23","JK","05:40 AM","wet","5.raining","2.drizzle","0","0","3.wet","5.cloudy","","<1 jam","JK","2020",NA,5,10,7.5,"PS.I"
"85","1.PS","2B","2B-05","IF 35","IF 25",10,500,"2020-08-23","JK","05:40 AM","wet","5.raining","2.drizzle","0","0","3.wet","5.cloudy","","<1 jam","JK","2020",NA,5,10,7.5,"PS.I"
"86","1.PS","2B","2B-06","IF 25","IF 15",10,500,"2020-08-23","JK","05:40 AM","wet","5.raining","2.drizzle","0","0","2.moist","5.cloudy","","<1 jam","JK","2020",NA,5,10,7.5,"PS.I"
"87","1.PS","2B","2B-07","IF 15","DG 0",10,500,"2020-08-23","JK","05:40 AM","wet","5.raining","2.drizzle","0","0","1.dry","5.cloudy","","<1 jam","JK","2020",NA,5,10,7.5,"PS.I"
"88","1.PS","1A","1A-03","TZ 0","BD 13",10,500,"2015-04-10","LD/MK","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"89","1.PS","1A","1A-04","BD 13","BD 03",10,500,"2015-04-10","LD/MK","05:30 AM","wet","4.last_night","3.medium","0","1","3.wet","1.clear","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"90","1.PS","1A","1A-05","BD 03","RB 20",10,500,"2015-04-10","LD/MK","05:30 AM","wet","4.last_night","3.medium","0","1","3.wet","1.clear","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"91","1.PS","1A","1A-06","KP 00","KP 10",10,500,"2015-04-10","LD/MK","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"92","1.PS","1A","1A-07","KP 10","KP15",5,250,"2015-04-10","LD/MK","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"93","1.PS","1B","1B-01","KP15","KP 10",5,250,"2015-04-25","SY/MK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","5.cloudy","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"94","1.PS","1B","1B-02","KP 10","KP 00",10,500,"2015-04-25","SY/MK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","5.cloudy","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"95","1.PS","1B","1B-03","RB 20","BD 03",10,500,"2015-04-25","SY/MK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","5.cloudy","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"96","1.PS","1B","1B-04","BO 03","BD 13",10,500,"2015-04-25","SY/MK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"97","1.PS","1B","1B-05","BD 13","TZ 00",10,500,"2015-04-25","SY/MK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"98","1.PS","1B","1B-06","KP 17","KP 27",10,500,"2015-04-25","SY/MK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","5.cloudy","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"99","1.PS","1B","1B-07","KP 27","KP 37",10,500,"2015-04-25","SY/MK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","6.drizzle","","1-3 jam","> 1 Obs","2015",NA,5,10,7.5,"PS.I"
"100","1.PS","2A","2A-01","DG 0","IF 15",10,500,"2015-04-11","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","5.cloudy","","1-3 jam","SY","2015",NA,5,10,7.5,"PS.I"
"101","1.PS","2A","2A-02","IF 15","IF 25",10,500,"2015-04-11","SY","05:30 AM","wet","4.last_night","3.medium","3","0","3.wet","5.cloudy","","1-3 jam","SY","2015",NA,5,10,7.5,"PS.I"
"102","1.PS","2A","2A-03","IF 25","IF 35",10,500,"2015-04-11","SY","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","6.drizzle","","1-3 jam","SY","2015",NA,5,10,7.5,"PS.I"
"103","1.PS","2A","2A-04","IF 35","IF 45",10,500,"2015-04-11","SY","05:30 AM","wet","4.last_night","3.medium","1","0","3.wet","5.cloudy","","1-3 jam","SY","2015",NA,5,10,7.5,"PS.I"
"104","1.PS","1A","1A-01","KP 37","KP 27",10,500,"2013-11-08","SY","05:30 AM","wet","4.last_night","4.heavy","1","0","3.wet","5.cloudy","","1-3 jam","SY","2013",NA,5,10,7.5,"PS.I"
"105","1.PS","1A","1A-02","KP 27","KP 17",10,500,"2013-11-08","SY","05:30 AM","wet","4.last_night","4.heavy","1","0","3.wet","5.cloudy","","1-3 jam","SY","2013",NA,5,10,7.5,"PS.I"
"106","1.PS","1A","1A-03","TZ 0","BD 13",10,500,"2013-11-08","SY","05:30 AM","wet","4.last_night","4.heavy","0","0","3.wet","5.cloudy","","1-3 jam","SY","2013",NA,5,10,7.5,"PS.I"
"107","1.PS","1A","1A-04","BD 13","BD 03",10,500,"2013-11-08","SY","05:30 AM","wet","4.last_night","4.heavy","0","0","3.wet","1.clear","","1-3 jam","SY","2013",NA,5,10,7.5,"PS.I"
"108","1.PS","1A","1A-05","BD 03","RB 20",10,500,"2013-11-08","SY","05:30 AM","wet","4.last_night","4.heavy","0","0","3.wet","1.clear","","1-3 jam","SY","2013",NA,5,10,7.5,"PS.I"
"109","1.PS","1A","1A-06","KP 00","KP 10",10,500,"2013-11-08","SY","05:30 AM","wet","4.last_night","4.heavy","0","0","3.wet","1.clear","","1-3 jam","SY","2013",NA,5,10,7.5,"PS.I"
"110","1.PS","1A","1A-07","KP 10","KP15",5,250,"2013-11-08","SY","05:30 AM","wet","4.last_night","4.heavy","0","0","3.wet","1.clear","","1-3 jam","SY","2013",NA,5,10,7.5,"PS.I"
"111","1.PS","1A","1A-01","KP 37","KP 27",10,500,"2018-08-08","JK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","JK","2018",NA,5,10,7.5,"PS.I"
"112","1.PS","1A","1A-02","KP 27","KP 17",10,500,"2018-08-08","JK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","JK","2018",NA,5,10,7.5,"PS.I"
"113","1.PS","1A","1A-03","TZ 0","BD 13",10,500,"2018-08-08","JK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","JK","2018",NA,5,10,7.5,"PS.I"
"114","1.PS","1A","1A-04","BD 13","BD 03",10,500,"2018-08-08","JK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","JK","2018",NA,5,10,7.5,"PS.I"
"115","1.PS","1A","1A-05","BD 03","RB 20",10,500,"2018-08-08","JK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","JK","2018",NA,5,10,7.5,"PS.I"
"116","1.PS","1A","1A-06","KP 00","KP 10",10,500,"2018-08-08","JK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","JK","2018",NA,5,10,7.5,"PS.I"
"117","1.PS","1A","1A-07","KP 10","KP15",5,250,"2018-08-08","JK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","JK","2018",NA,5,10,7.5,"PS.I"
"118","1.PS","1B","1B-01","KP15","KP 10",5,250,"2018-08-18","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"PS.I"
"119","1.PS","1B","1B-02","KP 10","KP 00",10,500,"2018-08-18","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"PS.I"
"120","1.PS","1B","1B-03","RB 20","BD 03",10,500,"2018-08-18","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"PS.I"
"121","1.PS","1B","1B-04","BO 03","BD 13",10,500,"2018-08-18","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"PS.I"
"122","1.PS","1B","1B-05","BD 13","TZ 00",10,500,"2018-08-18","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"PS.I"
"123","1.PS","1B","1B-06","KP 17","KP 27",10,500,"2018-08-18","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"PS.I"
"124","1.PS","1B","1B-07","KP 27","KP 37",10,500,"2018-08-18","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"PS.I"
"125","1.PS","2A","2A-01","DG 0","IF 15",10,500,"2018-08-09","DK","05:30 AM","moist","1.over_48_hours","1.no_rain","2","0","2.moist","1.clear","","","DK","2018",NA,5,10,7.5,"PS.I"
"126","1.PS","2A","2A-02","IF 15","IF 25",10,500,"2018-08-09","DK","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","DK","2018",NA,5,10,7.5,"PS.I"
